Designator,Footprint,Quantity,Value,LCSC Part #
BLACK_MAGIC_OUT1,HDR-SMD_10P-P1.27-V-M-R2-C5-LS5.5,1,KH-1.27PH180-2X5P-L7.2-SMT,C4943297
"C1, C2, C7",0603,3,1.0 uF,C15849
"C10, C11, C12, C13, C14, C19, C20, C21, C3, C6, C8, C9",0402,12,100 nF,C1525
"C15, C16, C17, C18",0402,4,12 pF,C1547
"C4, C5",0603,2,4.7 uF,C19666
D1,SOD-323_L1.8-W1.3-LS2.5-RD,1,Schottky 1A 40V,C191023
"LED1, LED5",LED0805-R-RD,2,Green,C2297
LED2,LED0805-R-RD,1,Yellow,C2296
LED3,LED0603-R-RD_WHITE,1,White,C2290
LED4,LED0603-RD,1,Red,C2286
Q1,SOT-23,1,2N7002,C8545
Q2,SOT-23,1,AO3401A,C15127
"R1, R2",0402,2,5.1K,C25941
"R10, R11, R12, R3, R7",0402,5,10k,C25744
R13,0402,1,2K,C4109
"R4, R5, R6, R8, R9",0603,5,330R,C22775
"SW1, SW2, SW3",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,3,TS-1187A-B-A-B,C318884
U1,UFQFPN-48_L7.0-W7.0-P0.50-BL-EP,1,STM32F411CEUx,C60420
U2,SOT-666-6_L1.6-W1.2-P0.50-LS1.6-BR,1,USBLC6-2P6,C15999
U3,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,1,AP2112K-3.3TRG1,C51118
U4,VQFN-20_L4.6-W3.6-P0.50-BL-EP,1,TXS0108ERGYR,C90706
USB1,USB-C-SMD_KH-TYPE-C-16P,1,KH-TYPE-C-16P,C709357
X1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz crystal,C841881
X2,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,25Mhz crystal,C5265839
