Designator,Mid X,Mid Y,Rotation,Layer
BLACK_MAGIC_OUT1,106.4,-122.7,270.0,top
C1,135.94,-123.195,270.0,top
C10,133.82,-115.2,0.0,top
C11,133.84,-116.4,0.0,top
C12,132.5,-125.6,0.0,top
C13,132.5,-126.8,0.0,top
C14,134.87,-105.63,90.0,top
C15,120.52,-113.2,0.0,top
C16,118.48,-113.2,180.0,top
C17,120.2,-117.25,0.0,top
C18,119.75,-121.25,180.0,top
C19,116.9,-119.1,90.0,top
C2,134.37,-123.195,270.0,top
C20,115.2,-125.9,0.0,top
C21,114.495,-118.76,270.0,top
C3,106.4,-136.93,270.0,top
C4,129.1,-126.2,270.0,top
C5,124.45,-114.075,90.0,top
C6,121.85,-121.5,180.0,top
C7,119.975,-123.45,180.0,top
C8,125.8,-114.87,90.0,top
C9,122.05,-114.78,90.0,top
D1,138.57,-124.17,0.0,top
LED1,116.2,-135.55,90.0,top
LED2,142.15,-133.3,0.0,top
LED3,134.6,-135.275,90.0,top
LED4,145.7,-127.6,180.0,top
LED5,138.45,-113.1,180.0,top
Q1,110.9625,-113.75,0.0,top
Q2,110.9375,-117.25,180.0,top
R1,142.65,-123.75,0.0,top
R10,113.525,-114.54,270.0,top
R11,108.4,-117.31,90.0,top
R12,113.475,-118.76,90.0,top
R13,113.885,-117.25,0.0,top
R2,140.64,-115.56,90.0,top
R3,127.8,-126.21,270.0,top
R4,116.2,-131.825,90.0,top
R5,134.6,-132.0,90.0,top
R6,142.6,-127.6,180.0,top
R7,123.75,-134.15,270.0,top
R8,145.9,-133.3,0.0,top
R9,134.4,-113.6,180.0,top
SW1,110.0,-136.9,0.0,top
SW2,131.34,-105.6,180.0,top
SW3,129.0,-134.2,0.0,top
U1,127.9,-120.5,270.0,top
U2,138.565,-117.77,0.0,top
U3,138.74,-121.17,0.0,top
U4,115.15,-122.64,270.0,top
USB1,144.52,-118.05,90.0,top
X1,119.5,-115.0,180.0,top
X2,120.2,-119.35,0.0,top
