Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C3",0603,2,4.7 uF,C19666
"C10, C11",0402,2,12 pF,C1547
"C12, C13, C21, C22, C4",0603,5,1.0 uF,C15849
"C15, C16",0603,2,330 pF,C1664
"C17, C18",0402,2,75 pF,C107010
"C19, C20",0603,2,150 pF,C1594
"C2, C7",0402,2,100 nF,C1525
"C5, C6, C8, C9",0603,4,2.2 uF,C23630
"L1, L2",0603,2,160 nH,C437367
LED1,LED0805-R-RD,1,0805G (Green),C2297
"R1, R2",0402,2,5.1K,C25941
"R10, R9",1206,2,2R0,C17942
"R11, R12",0603,2,2.2K,C278639
"R3, R4, R5, R6",0402,4,10k,C25744
R7,0603,1,100R,C22775
SW1,SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,1,TS-1187A-B-A-B,C318884
"TP1, TP2, TP3, TP4, TP5",TestPoint_Pad_D1.0mm,5,~,
U2,HVQFN-40_L6.0-W6.0-P0.50-BL-EP4.1,1,PN7160A1HN/C100Y,C3303790
U3,SOT-25-5_L2.9-W1.6-P0.95-LS2.8-BL,1,AP2112K-3.3TRG1,C51118
U4,SOT-666-6_L1.6-W1.2-P0.50-LS1.6-BR,1,USBLC6-2P6,C15999
USB2,USB-C-SMD_KH-TYPE-C-16P,1,KH-TYPE-C-16P,C709357
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,Crystal_GND24,C338245
