Designator,Mid X,Mid Y,Rotation,Layer
C1,173.1,-81.75,90.0,top
C10,168.7,-83.7,180.0,top
C11,168.6,-79.5,0.0,top
C12,167.1,-86.325,270.0,top
C13,164.225,-89.5,180.0,top
C15,182.4,-78.65,270.0,top
C16,182.4,-81.775,270.0,top
C17,184.8,-77.9,0.0,top
C18,184.8,-82.55,0.0,top
C19,185.375,-79.5,180.0,top
C2,171.8,-82.35,90.0,top
C20,185.375,-81.05,0.0,top
C21,180.075,-76.15,180.0,top
C22,180.075,-84.8,0.0,top
C3,179.275,-90.55,0.0,top
C4,174.1,-93.075,270.0,top
C5,174.6,-81.75,90.0,top
C6,169.3,-86.375,270.0,top
C7,180.05,-87.5,0.0,top
C8,179.5,-88.95,0.0,top
C9,176.1,-81.75,90.0,top
L1,179.9625,-79.4,0.0,top
L2,179.3,-81.8375,90.0,top
LED1,178.1,-100.95,90.0,top
R1,163.1,-82.41,90.0,top
R10,187.2,-84.3375,90.0,top
R11,183.3,-76.15,0.0,top
R12,183.25,-84.8,180.0,top
R2,159.4,-82.8,180.0,top
R3,171.45,-93.11,270.0,top
R4,172.5,-93.11,270.0,top
R5,171.99,-107.5,180.0,top
R6,171.99,-106.25,180.0,top
R7,180.3,-100.925,270.0,top
R9,187.2,-76.4,90.0,top
SW1,184.35,-105.6,90.0,top
U2,173.9,-87.5,0.0,top
U3,164.0,-86.5,180.0,top
U4,160.9625,-85.35,90.0,top
USB2,161.68,-78.17,180.0,top
Y1,168.65,-81.7,270.0,top
